id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1548088341580505088,1548088341580505088,2022-07-16 00:33:17 W. Central Africa Standard Time,2022-07-16,00:33:17,+0100,1420330870339166214,aaronxmikee,Mikee aaronx,,Big win let's goooo!!!🚀🚀🔥🔥 #LOVEDAMINI,en,[],[],[],0,1,4,['lovedamini'],[],https://twitter.com/AaronxMikee/status/1548088341580505088,False,https://twitter.com/chartdata/status/1548033735198535680,0,,,,,,,,[],,,,
1548088214883160064,1548088214883160064,2022-07-16 00:32:47 W. Central Africa Standard Time,2022-07-16,00:32:47,+0100,951393798235545600,mr_man_o,#MindyourBusinez,,Y’all keep streaming #lovedamini on Spotify,en,[],[],[],0,0,0,['lovedamini'],[],https://twitter.com/Mr_Man_O/status/1548088214883160064,False,,0,,,,,,,,[],,,,
1548087997957951488,1548087997957951488,2022-07-16 00:31:55 W. Central Africa Standard Time,2022-07-16,00:31:55,+0100,1392028855058173955,pabloandwest,Westside,,Truly I #LOVEDAMINI,en,[],[],[],0,0,0,['lovedamini'],[],https://twitter.com/pabloandwest/status/1548087997957951488,False,,0,,,,,,,,[],,,,
1548084883246837761,1548084883246837761,2022-07-16 00:19:32 W. Central Africa Standard Time,2022-07-16,00:19:32,+0100,1269199007542390785,david06777048,vidfresh,,MGL big wiz✅💯❤️🙌🕊😩#LOVEDAMINI #Wizkidfc #wizkid32  https://t.co/8SDTenvc3K,pl,[],[],['https://pbs.twimg.com/media/FXvm-_TUcAIiAJY.jpg'],0,1,1,"['lovedamini', 'wizkidfc', 'wizkid32']",[],https://twitter.com/David06777048/status/1548084883246837761,False,,1,https://pbs.twimg.com/media/FXvm-_TUcAIiAJY.jpg,,,,,,,[],,,,
1548084632675004418,1548084632675004418,2022-07-16 00:18:33 W. Central Africa Standard Time,2022-07-16,00:18:33,+0100,1362106021129428994,joshuaforreal01,Joshua J,,Guess who wants to do music with the 🐐🔥🔥🔥 The real 001 @burnaboy @BurnaBoyVoice @eltonofficial #LOVEDAMINI #WizkidAt32  https://t.co/cArJjJPKyv,en,"[{'screen_name': 'burnaboy', 'name': 'burna boy', 'id': '215052012'}, {'screen_name': 'burnaboyvoice', 'name': 'burna boy voice', 'id': '1221616558495227904'}, {'screen_name': 'eltonofficial', 'name': 'elton john', 'id': '174593833'}]",[],[],0,0,0,"['lovedamini', 'wizkidat32']",[],https://twitter.com/joshuaforreal01/status/1548084632675004418,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1548084555650715649/pu/img/yA73rRprUppvSZ96.jpg,,,,,,,[],,,,
1548084289316610048,1548084289316610048,2022-07-16 00:17:11 W. Central Africa Standard Time,2022-07-16,00:17:11,+0100,1017864407270002689,hanamnzali76,BURNA N1 FAN ❤️💍,,I WANNA BE IN YOUR LIFE UNTIL THE NIGHT IS OVER I WANNA HOLD YOU SO TIGHT SO TIGHT COMING CLOSER #formyhand #lovedamini #burnaboy #edsheeran #odogwu #outsider #afrofusion #twiceastall  https://t.co/iYBsyRAiTr,en,[],['https://youtu.be/EDZ25anwgjc'],[],0,4,14,"['formyhand', 'lovedamini', 'burnaboy', 'edsheeran', 'odogwu', 'outsider', 'afrofusion', 'twiceastall']",[],https://twitter.com/hanamnzali76/status/1548084289316610048,False,,0,,,,,,,,[],,,,
1548084284086370304,1548084284086370304,2022-07-16 00:17:09 W. Central Africa Standard Time,2022-07-16,00:17:09,+0100,1548081676038729729,burnapreyd,"Love, Daniel",,"Love,Damini is a superlative album and work of art that is on constant repeat for me. You can't make me hate it, Sorry . #LOVEDAMINI",en,[],[],[],0,0,0,['lovedamini'],[],https://twitter.com/Burnapreyd/status/1548084284086370304,False,,0,,,,,,,,[],,,,
1548084243527454722,1548084243527454722,2022-07-16 00:17:00 W. Central Africa Standard Time,2022-07-16,00:17:00,+0100,1280673863387484160,liyaah_an,"Liyah #LOVE, DAMINI🦍❤️",,I love my mutuals the devil may work hard but us outsiders work harder😭😭 @benny7gang @anoutsider4L #LOVEDAMINI #Burnaboy  https://t.co/cQiyUueEcD,en,"[{'screen_name': 'benny7gang', 'name': 'benny', 'id': '1104076483469946880'}, {'screen_name': 'anoutsider4l', 'name': 'love, damini ❤️', 'id': '1347078153349554176'}]",[],"['https://pbs.twimg.com/media/FXvmZrjVUAUzuP_.jpg', 'https://pbs.twimg.com/media/FXvmZrgUYAAOEYz.jpg']",3,12,37,"['lovedamini', 'burnaboy']",[],https://twitter.com/liyaah_an/status/1548084243527454722,False,,1,https://pbs.twimg.com/media/FXvmZrjVUAUzuP_.jpg,,,,,,,[],,,,
1548084007224897537,1548084007224897537,2022-07-16 00:16:03 W. Central Africa Standard Time,2022-07-16,00:16:03,+0100,3592508061,phreemhaan,Phreemhan 🇬🇭 ●,,"There is actually no good song in @burnaboy's Love, Damini Album. All the songs are BEST 😍. Have a headache choosing my fav. Top Top Album. I would give it a 5 star 🌟 rating anytime, anyday, anywhere. #LOVEDAMINI  #LOVEDAMINI4NO1",en,"[{'screen_name': 'burnaboy', 'name': 'burna boy', 'id': '215052012'}]",[],[],1,3,5,"['lovedamini', 'lovedamini4no1']",[],https://twitter.com/Phreemhaan/status/1548084007224897537,False,,0,,,,,,,,[],,,,
1548083936525291526,1548083569674702852,2022-07-16 00:15:47 W. Central Africa Standard Time,2022-07-16,00:15:47,+0100,1451521472854376451,kelvinlegitguy,kelvinlegitguy🦍,,@Abbye_edi__ Listen to #LOVEDAMINI,en,[],[],[],1,0,1,['lovedamini'],[],https://twitter.com/Kelvinlegitguy/status/1548083936525291526,False,,0,,,,,,,,"[{'screen_name': 'Abbye_edi__', 'name': 'love, Ediyie ❤️', 'id': '1146773984417058816'}]",,,,
