,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
0,urboyGanjaa,2022-07-10 00:19:33+00:00,RT @WayneH__: #LOVEDAMINI gets better with each listen,,False,Twitter for Android,10,516,1545925658920062977
1,ace_imagery,2022-07-10 00:19:26+00:00,"RT @chukaobi: @burnaboy made the album of the year with #LOVEDAMINI  

I don’t know how 19 songs can keep going by so fast.

Zero skips, to…",,False,Twitter for Android,681,15,1545925628310044672
2,beejay_ydd,2022-07-10 00:19:24+00:00,@burnaboy you better drop deluxe later on with this song included if you don't want us to come and do part 2 of mon… https://t.co/hVCLENwUA0,,False,Twitter Web App,136,0,1545925622479847426
3,Anchorbutter1,2022-07-10 00:19:14+00:00,I’m confused 😐#LOVEDAMINI https://t.co/tR3Xq63V5a,,False,Twitter for iPhone,363,0,1545925580155150338
4,ChrisKh57703957,2022-07-10 00:19:14+00:00,"RT @shevydliege: Una go leave this app 
The Madness never even start.
#LOVEDAMINI https://t.co/nXrpipuBOq",,False,Twitter for iPhone,1072,23,1545925577684750341
5,gayassnegro,2022-07-10 00:19:11+00:00,"tweet for @burnaboy 💛
#LOVEDAMINI",SUB-SAHARAN AFRICA,False,Twitter Web App,490,0,1545925564028125185
6,Carolin67623872,2022-07-10 00:18:59+00:00,"RT @fiz_iiz: Good morning from 
Stockholm Sweden 
#NatureBeauty #NaturePhotography #Sweden #LOVEDAMINI #LoveTwitter https://t.co/4iJIJewcp4","San Antonio, TX",False,Twitter Web App,4,236,1545925516456169472
7,siwonetwork,2022-07-10 00:18:56+00:00,"RT @mhizhapi: Who is a better option for the VP to Peter Obi?

🔄 Retweet for Rabiu Kwankwaso

❤️ Like for Dr. Yusuf Datti Ahmed

Ban Reno O…",48 creek road Fegge Onitsha ,False,Twitter for Android,65,124,1545925504041189376
8,Banty_90,2022-07-10 00:18:56+00:00,RT @prince_clever07: The only artist that can sing about political issues and e go enter. The only artist that can sing about heartbreak an…,,False,Twitter for iPhone,151,84,1545925503718199298
9,ChrisKh57703957,2022-07-10 00:18:52+00:00,"RT @Burnaboystats1: 🇬🇧 UK iTunes top songs 

#20 - Last Last (new peak)

#LOVEDAMINI #Burnaboy https://t.co/glZNX6Ui6R",,False,Twitter for iPhone,1072,44,1545925487930875904
10,kng_drizzy184,2022-07-10 00:18:51+00:00,X1 ft headphones #LOVEDAMINI #BURNABOY𓃵  mental orgasmsssss,Missing ,False,Twitter for iPhone,55,0,1545925480326512642
11,Outsideisbliss,2022-07-10 00:18:49+00:00,RT @ArewaAdebukolaa: That place burna screamed Everybody know that I’m the gyal dem controller. on science dey always burst my brain 😭 #LOV…,"Kumasi, Ghana",False,Twitter for Android,2366,9,1545925473678540800
12,Lakitan6,2022-07-10 00:18:46+00:00,"RT @TheREACHNG: Yesterday when we visited the Aboki community at Elegushi, Lagos. We shared food packs to 300 people courtesy of Burna Boy…","Otta, Nigeria",False,Twitter for Android,743,254,1545925463037677568
13,ChukwuebukaAri1,2022-07-10 00:18:46+00:00,"RT @UnrulyOutsider: ‘ He sampled Fela’ people are the most disappointed. 😂😜

#LoveDamini",,False,Twitter for iPhone,629,69,1545925462110703617
14,W0rldWideKEV,2022-07-10 00:18:45+00:00,#LOVEDAMINI actually has no bad song.,"Abuja, Nigeria",False,Twitter for Android,1145,0,1545925457593384962
15,champaBass,2022-07-10 00:18:39+00:00,"RT @chartdata: .@burnaboy earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",,False,Twitter for iPhone,25,603,1545925429873238019
16,ChrisKh57703957,2022-07-10 00:18:28+00:00,RT @99og_: Cloak and Dagger on Repeat 🔂 #LOVEDAMINI,,False,Twitter for iPhone,1072,8,1545925386751676416
17,1Rxseyi,2022-07-10 00:18:27+00:00,RT @AlbumTalksHQ: .@burnaboy’s #LOVEDAMINI is now #1 in 45 countries. (Apple),Tesla workshop / desgin 🆙,False,Twitter for iPhone,334,110,1545925381303279623
18,alok_savage,2022-07-10 00:18:24+00:00,RT @WayneH__: #LOVEDAMINI gets better with each listen,"Lagos, Nigeria",False,Twitter for iPhone,495,516,1545925370666487809
19,ChrisKh57703957,2022-07-10 00:18:19+00:00,"RT @Taylorbankz3: If you love @burnaboy , please kindly retweet this love damini shirt designed by taylorbankz....let's Make it go viral...…",,False,Twitter for iPhone,1072,9,1545925348105281543
20,zubbychicomedy,2022-07-10 00:18:15+00:00,RT @itskenechi: Burna Boy never disappoints! I love every bit of his new album. #LOVEDAMINI,"Victoria Island, Nigeria",False,Twitter for Android,457,107,1545925329482555399
21,FweshEmma,2022-07-10 00:18:05+00:00,RT @chartdata: .@burnaboy simultaneously occupies the entire top 19 on the Nigerian Spotify chart with every song from #LOVEDAMINI. He's th…,,False,Twitter for iPhone,1376,741,1545925289645146112
22,BlackBoyF_ly,2022-07-10 00:17:56+00:00,RT @kvngvinci: My parents are so proud of me 😄 #LOVEDAMINI,Apokolips,False,Twitter for Android,1222,40,1545925251044966404
23,sayfemi,2022-07-10 00:17:55+00:00,RT @Damiar0s: Burna Boy and Victony on Different size #LOVEDAMINI https://t.co/mCcuhfgN4U,,False,Twitter for iPhone,2027,20,1545925247580487680
24,zubbychicomedy,2022-07-10 00:17:54+00:00,RT @TwitterMusic: 👀 your fave songs from #LoveDamini,"Victoria Island, Nigeria",False,Twitter for Android,457,316,1545925243809763332
25,supremescourt,2022-07-10 00:17:49+00:00,this man can sing sha #LOVEDAMINI,♡,False,Twitter for iPhone,4054,0,1545925223811276800
26,ChrisKh57703957,2022-07-10 00:17:48+00:00,RT @ArewaAdebukolaa: No fela no diddy yet we breaking records. Them dey pray make we fall and stagger but We move in cloak in dagger 🦍 #LOV…,,False,Twitter for iPhone,1072,24,1545925219004678145
27,1Rxseyi,2022-07-10 00:17:46+00:00,"RT @chartdata: .@burnaboy earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",Tesla workshop / desgin 🆙,False,Twitter for iPhone,334,603,1545925210100178944
28,ChrisKh57703957,2022-07-10 00:17:46+00:00,RT @Collins08132103: Bless #LOVEDAMINI https://t.co/tkO5IoPRfW,,False,Twitter for iPhone,1072,2,1545925207529033728
29,ArmahJulio,2022-07-10 00:17:44+00:00,VANILLA!! That’s the title of the track!!#LOVEDAMINI,📍delaroke Art gallery,False,Twitter for iPhone,1070,0,1545925202726486018
30,MalikHassan411,2022-07-10 00:17:44+00:00,"RT @FulaniAyomikun: Burna Boy keeps outdoing himself
#LOVEDAMINI https://t.co/vSXYShRegA",,False,Twitter for iPhone,1774,24,1545925201183006723
