,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
0,thisispandora23,2022-07-09 23:51:31+00:00,RT @ArewaAdebukolaa: That part burna said “say your body dey ginger me o normally say you get am naturally but I no complain” he sweet my b…,Outside ,False,Twitter for iPhone,1982,31,1545918601835724801
1,eddyofficial001,2022-07-09 23:51:30+00:00,"RT @eddyofficial001: 1. Cloak &amp; Dagger
2. Whiskey 
3. Different Size
4. Science 
5. How Bad Could It Be

 in that order. #LOVEDAMINI","Lagos, Nigeria",False,Twitter for iPhone,166,6,1545918600510414854
2,Hillzpapii,2022-07-09 23:51:30+00:00,RT @backroadgee: After listen @burnaboy album for 2 days straight. I believe this is another classic album. #LOVEDAMINI  #Well done my fami…,"Lagos,Nigeria.",False,Twitter for iPhone,334,232,1545918599063375873
3,thisispandora23,2022-07-09 23:51:27+00:00,"RT @UnrulyOutsider: ‘ He sampled Fela’ people are the most disappointed. 😂😜

#LoveDamini",Outside ,False,Twitter for iPhone,1982,64,1545918588510523393
4,theshyghostx,2022-07-09 23:51:27+00:00,"RT @Callmevatti: Went crazy on this nsg type beat🤯🔥
Like, retweet and take the @NSG crew🔥✨
@Papii_Abz @OGD_NSG @MxjibNsg @Dope_Nsg @_Kruddz…",Nigeria,False,Twitter for Android,190,10,1545918588468580352
5,sportslovin,2022-07-09 23:51:25+00:00,"RT @chartdata: .@burnaboy earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",Places Unknown,False,Twitter for Android,266,596,1545918577676496897
6,Kcobiefule,2022-07-09 23:51:24+00:00,"RT @Davidalgorithm: Twitter please start working on verifying our potential Vice president even before he applies for verification✌🏼🕊️
____…","Lagos, Nigeria",False,Twitter for Android,2357,91,1545918575441055746
7,Fikayofmars,2022-07-09 23:51:24+00:00,"RT @Burnaboyjnr_: As you are listening to “For my hand” , make sure you jam “last last” too. There’s a reason why they are on the same albu…",Hogwarts🧝‍♂️,False,Twitter for iPhone,5213,276,1545918575390621697
8,TroyesDave,2022-07-09 23:51:24+00:00,"RT @Badman_LOT1: Was just looking around den I came across this dude 😂😂😂😂😂

This video will crack you up 😂
The werey  even Dey blush untop…","Lagos, Nigeria",False,Twitter for Android,40,3,1545918573578801152
9,megasanctus,2022-07-09 23:51:24+00:00,"RT @Badman_LOT1: Was just looking around den I came across this dude 😂😂😂😂😂

This video will crack you up 😂
The werey  even Dey blush untop…",,False,Twitter for Android,0,3,1545918572693708806
10,simply_nenye,2022-07-09 23:51:23+00:00,"RT @NaijaSpeaker: This is how it should be.
Simple and plain without abusive words.

Wike #lovedamini lekki reno teni shola https://t.co/UW…",,False,Twitter for Android,100,32,1545918571531960321
11,ChrisKh57703957,2022-07-09 23:51:19+00:00,"RT @Official_umd: Pls help me check on @burnaboy and, confirmed his mouth hasn't swell up cos ahh #LoveDamini 🐐🦍❤️",,False,Twitter for iPhone,1071,5,1545918551172710400
12,Hillzpapii,2022-07-09 23:51:17+00:00,RT @itskenechi: Burna Boy never disappoints! I love every bit of his new album. #LOVEDAMINI,"Lagos,Nigeria.",False,Twitter for iPhone,334,96,1545918544356966403
13,elmajor08114869,2022-07-09 23:51:13+00:00,RT @oluwashina: 🔥 For my hand 🎶 #LOVEDAMINI,Space,False,Twitter for iPhone,141,1,1545918528787718144
14,ChrisKh57703957,2022-07-09 23:51:12+00:00,"RT @MsAmika__: I really want to know from Burna Boy the inspiration behind Toni-Ann Singh ❤️

#LOVEDAMINI",,False,Twitter for iPhone,1071,8,1545918523473534976
15,advtomiwa,2022-07-09 23:51:08+00:00,"RT @Burnaboystats1: 🇺🇸 USA Apple Music top songs 

#71 - For my hand ft @edsheeran (new peak)
.
.

#LoveDamini #BurnaBoy https://t.co/E26mg…",,False,Twitter for iPhone,16284,61,1545918507858149378
16,BurnaBoyAG,2022-07-09 23:51:07+00:00,RT @MyGuyITK: The fact that #LOVEDAMINI  is arguably #BURNABOY𓃵 most watered-down project is scary. Imagine the numbers he would have pull…,Space 🛸,False,Twitter for iPhone,493,1,1545918501864423424
17,IceDee_Official,2022-07-09 23:51:02+00:00,RT @olawale_68472: @burnaboy new album at @applemusics this morning 🔥🔥🔥#lovedamini https://t.co/tSUxLRLDx0,"Abuja, Nigeria",False,Twitter for Android,915,181,1545918482923102213
18,Thegreat_Moh,2022-07-09 23:51:02+00:00,RT @CHOPSTIIIIX: From the beach sessions to the world. It’s always fun creating with my brother @burnaboy — “Kilometre” + “Last Last” produ…,"Abuja, Nigeria",False,Twitter for iPhone,570,279,1545918480641318912
19,BurnaBoyAG,2022-07-09 23:51:01+00:00,"RT @stardomjohnson: Allah Walahi Burna boy not their father’s mate my man too good 
#LOVEDAMINI That cloak and dagger is so sleek see burna…",Space 🛸,False,Twitter for iPhone,493,2,1545918478141382656
20,freshtoluwani,2022-07-09 23:51:01+00:00,"RT @UnrulyOutsider: ‘ He sampled Fela’ people are the most disappointed. 😂😜

#LoveDamini","England, United Kingdom",False,Twitter for iPhone,874,64,1545918476954501123
21,thisispandora23,2022-07-09 23:50:57+00:00,"RT @chartdata: .@burnaboy earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",Outside ,False,Twitter for iPhone,1982,596,1545918458877059072
22,JasinMiles,2022-07-09 23:50:46+00:00,"RT @Burnaboystats1: “Last Last” has now broken it’s highest daily @Spotify streams gains today!

— added 1,060,130 streams over the last 24…",Nigeria,False,Twitter for Android,1004,87,1545918415415697409
23,JasinMiles,2022-07-09 23:50:43+00:00,"RT @outsideeforever: Lol “DIRTY SECRET” is really underrated! 
Am i the only loving that “Oluwa burna orin melo mo fe ko” part 😩🔥 #LOVEDAMI…",Nigeria,False,Twitter for Android,1004,24,1545918403369746438
24,chuzzyofficial,2022-07-09 23:50:39+00:00,"I have my phone read. It's following spree! If you're OBIdient and Yus-ful, follow me now for immediate follow back… https://t.co/BfiuOXLiOe",Nigeria,False,Twitter for Android,1047,0,1545918386177298432
25,drtruetalk,2022-07-09 23:50:33+00:00,RT @ada__baby: Burna boy and Ed Sheeran made the absolute best collab with For my hand. The song legit speaks to the innermost parts of my…,,False,Twitter for iPhone,52,262,1545918361988747264
26,CryptoNewbie567,2022-07-09 23:50:31+00:00,"Whenever I’m broken you make you make me feel whole, whenever I’m lonely be there for my soul, wherever you are tha… https://t.co/AO97y98pfj",In your heart,False,Twitter for iPhone,113,0,1545918351884550146
27,manliketola,2022-07-09 23:50:28+00:00,"RT @Burnaboyjnr_: As you are listening to “For my hand” , make sure you jam “last last” too. There’s a reason why they are on the same albu…",United States,False,Twitter for iPhone,1270,276,1545918340266426368
28,RIA_WEGBA,2022-07-09 23:50:28+00:00,RT @hmvVault: We'd like to say a massive thanks to @burnaboy and everyone who came to his album signing today here at hmv Vault! His new al…,OUTSIDE ,False,Twitter for Android,349,56,1545918337930100736
29,bunmizion,2022-07-09 23:50:25+00:00,RT @Taylorbankz3: Stone wash denim featuring burnnnnnna kindly retweet for the love of good music and art😂 #LOVEDAMINI #BurnaBoy #BURNABOY𓃵…,"Lagos, Nigeria",False,Twitter for Android,560,163,1545918328203517952
30,kenzoranking,2022-07-09 23:50:21+00:00,RT @ada__baby: Burna boy and Ed Sheeran made the absolute best collab with For my hand. The song legit speaks to the innermost parts of my…,"Accra, Ghana",False,Twitter Web App,483,262,1545918310319099904
31,BurnaBoyAG,2022-07-09 23:50:18+00:00,RT @deejayneptune: Another Grammy award on the way for @burnaboy! Congrats on new album #LOVEDAMINI 👍,Space 🛸,False,Twitter for iPhone,493,705,1545918298499428353
