,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
380,kinqsammykroos,2022-07-10 00:22:39+00:00,"RT @mommyfinnasmoke: Wild dreams 💦❣️🔥🦍
#LOVEDAMINI https://t.co/WjcLkzGDGX",moon ,False,Twitter for Android,4340,57,1545926440318910465
381,MooninPortfolio,2022-07-10 00:22:38+00:00,RT @burnaboy: #Vanilla visual story out now ft. #RayBanStories. Full video at https://t.co/mRc0IRAAvD @ray_ban #sponsored #LOVEDAMINI https…,ToThaMoon🚀,False,Twitter for iPhone,394,1328,1545926436040622080
382,Desmond10707840,2022-07-10 00:22:38+00:00,"RT @beejay_ydd: One album containing different moods, one album containing no skips, one album putting the problem of a place out for a sol…",Outsider,False,Twitter for Android,333,13,1545926434925027328
383,ola_kray,2022-07-10 00:22:35+00:00,RT @burnaboy: #Vanilla visual story out now ft. #RayBanStories. Full video at https://t.co/mRc0IRAAvD @ray_ban #sponsored #LOVEDAMINI https…,Lagos,False,Twitter for iPhone,1982,1328,1545926420718931969
384,abdulrazaq_kumo,2022-07-10 00:22:32+00:00,"RT @FulaniAyomikun: Burna Boy keeps outdoing himself
#LOVEDAMINI https://t.co/vSXYShRegA","Abuja, Nigeria",False,Twitter for iPhone,276,26,1545926407120904195
385,NewELITE12,2022-07-10 00:22:29+00:00,RT @outsideeforever: Anyone that slanders #LOVEDAMINI is just forcing it tbh lol… BURNA is an IDOL to your faves. They know 😂,Nigeria,False,Twitter for Android,31,16,1545926396643606528
386,MooninPortfolio,2022-07-10 00:22:22+00:00,RT @burnaboy: Let’s go Birmingham! 🎉 #LOVEDAMINI https://t.co/gZnkB35iND,ToThaMoon🚀,False,Twitter for iPhone,394,1059,1545926365609967616
387,UmehJoy_,2022-07-10 00:22:22+00:00,RT @Patty_Mills: I never tweet anymore but @burnaboy my goodness!🔥🔥🔥 Giant of all Giants #LOVEDAMINI #bongkilla,next to you.,False,Twitter for iPhone,2964,1447,1545926365295288321
388,supremescourt,2022-07-10 00:22:17+00:00,when you whine you dey do me science 🧫 🧪 #LOVEDAMINI https://t.co/vCwy9N8DWS,♡,False,Twitter for iPhone,4054,0,1545926344453783554
389,IgbeaguG,2022-07-10 00:22:07+00:00,RT @Davidalgorithm: Peter Obi and Yusuf Datti made it very easy to campaign for them by not having a dirty past. Even Reno wish that Atiku…,,False,Twitter for Android,171,912,1545926302301147137
