,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
0,jonesike3,2022-07-13 11:51:48+00:00,"RT @Outsider236: Burna Boy’s “Last Last” Spotify Streams:

=32,214,150 (+940,626) July 11

#Burnaboy             #lovedamini",,False,Twitter for iPhone,334,91,1547187032715296770
1,kvnq_sammie,2022-07-13 11:51:44+00:00,"RT @Burnaboystats1: #LoveDamini   has surpassed 30.8 million combined streams on Audiomack in less than 6 days after release 
 
- it’s the…",On the streets,False,Twitter for Android,2153,62,1547187014658834432
2,_Ellen55,2022-07-13 11:51:41+00:00,RT @chartdata: .@burnaboy's #LOVEDAMINI aiming for top 15 debut on this week's US albums chart with 25K units first week. It will become th…,Krusty Krab,False,Twitter for iPhone,3105,717,1547187002528960512
3,burnalovedamini,2022-07-13 11:51:38+00:00,"RT @Yxng_KinG_: That @burnaboy album is maddd🤬🔥
Science is ma fav on the album. Love ❤️ from Sierra Leone 🇸🇱 #LOVEDAMINI",,False,Twitter for Android,385,19,1547186989404938241
4,burnalovedamini,2022-07-13 11:51:35+00:00,"RT @bmspacestore: Common Person is reality in form of melody 🎶 

#CommonPerson #LOVEDAMINI",,False,Twitter for Android,385,5,1547186977098928135
5,_Ellen55,2022-07-13 11:51:29+00:00,RT @dtwistednerd: Let me go run it up some more. We need to land big!! 🦍🦍🦍 #LOVEDAMINI,Krusty Krab,False,Twitter for iPhone,3105,70,1547186953241632769
6,JOHN9RO,2022-07-13 11:51:24+00:00,RT @wale_rv: My life right now 🥹. Thank You my therapist @burnaboy #LOVEDAMINI https://t.co/xMKuTSrRd7,Outside 🦍🐐,False,Twitter for iPhone,851,2,1547186932115030016
7,Updated_CEO,2022-07-13 11:51:17+00:00,"RT @bmspacestore: Hardwork really pays! Destiny can only be delayed not denied! What Burna Boy did in  #LOVEDAMINI  eh, the world is not ev…","Lagos, Nigeria",False,Twitter for iPhone,4698,1188,1547186903186808833
8,azi_mercy65,2022-07-13 11:51:10+00:00,"RT @hanamnzali76: “Then anxiety take over your mind
And your trouble just increase in size,
When u’re feelin mad and u’re angry
When you fe…",,False,Twitter for Android,626,10,1547186874078449665
9,Son_of_grace10,2022-07-13 11:51:10+00:00,@2TALLINmania Cloak and dagger by @burnaboy #LOVEDAMINI,"Lagos, Nigeria",False,Twitter for Android,654,0,1547186873277243396
10,azi_mercy65,2022-07-13 11:51:09+00:00,RT @dukeofph_: #LOVEDAMINI Surpasses 17M streams on Boomplay within 6 days of its release. Burna boy is the first artiste to achieve this f…,,False,Twitter for Android,626,4,1547186868416135168
11,jonesike3,2022-07-13 11:51:06+00:00,"RT @Burnaboystats1: Amazon best sellers (albums)

#84 - #LoveDamini 

  #BurnaBoy https://t.co/e7OZhJhCQI",,False,Twitter for iPhone,334,62,1547186858148470784
12,Grahammoore04,2022-07-13 11:50:57+00:00,"RT @Burnaboystats1: #LoveDamini    Spotify streams:

Day 1  : +8,332,412
Day 2 : +5,472,942
Day 3 : +4,477,855 sunday effect*
Day 4: + 4,77…",BUJU BNXN ARENA,False,Twitter for Android,314,41,1547186818780626946
13,Grahammoore04,2022-07-13 11:50:54+00:00,"RT @Burnaboystats1: Amazon best sellers (songs)

#55 - “For my hand” ft @edsheeran 

#LoveDamini #BurnaBoy https://t.co/789h3rt91x",BUJU BNXN ARENA,False,Twitter for Android,314,45,1547186805799280640
14,Grahammoore04,2022-07-13 11:50:48+00:00,"RT @Burnaboystats1: Amazon best sellers (albums)

#84 - #LoveDamini 

  #BurnaBoy https://t.co/e7OZhJhCQI",BUJU BNXN ARENA,False,Twitter for Android,314,62,1547186780511903744
15,RevoGorilla,2022-07-13 11:50:45+00:00,"RT @solomonazic2: I be common person 🥰
#LOVEDAMINI  by @burnaboy is the best album ever by an African musician. https://t.co/CBTxTpEuZR",,False,Twitter for Android,1481,6,1547186767819833344
16,Grahammoore04,2022-07-13 11:50:44+00:00,"RT @Burnaboystats1: Amazon best sellers new releases (albums)

#46 - #LoveDamini  

  #BurnaBoy https://t.co/LHgBWNYxh3",BUJU BNXN ARENA,False,Twitter for Android,314,55,1547186764883828737
17,jonesike3,2022-07-13 11:50:40+00:00,"RT @Burnaboystats1: Amazon best sellers new releases (albums)

#46 - #LoveDamini  

  #BurnaBoy https://t.co/LHgBWNYxh3",,False,Twitter for iPhone,334,55,1547186747519684608
18,JOHN9RO,2022-07-13 11:50:38+00:00,"RT @Burnaboystats1: 🇺🇸 Amazon international best sellers (songs)

#8 - Last Last 

🇺🇸 Amazon international new releases (songs)

#5 - Last…",Outside 🦍🐐,False,Twitter for iPhone,851,45,1547186739000889345
19,kvnq_sammie,2022-07-13 11:50:38+00:00,"RT @Burnaboystats1: “For my hand” video ft @edsheeran is charting at number #1 on YouTube daily chart in 5 countries simultaneously 

#Love…",On the streets,False,Twitter for Android,2153,43,1547186737964847104
20,jonesike3,2022-07-13 11:50:38+00:00,"RT @BurnaBoyAG: In 2017 Jidenna said Burna Boy is underrated in the Nigerian music industry. 

He knew Burna was the best and is still the…",,False,Twitter for iPhone,334,113,1547186736643690497
21,Grahammoore04,2022-07-13 11:50:35+00:00,"RT @Burnaboystats1: Amazon best sellers new releases (songs)

#23 - “For my hand” ft @edsheeran 
#73 - Last Last 

#LoveDamini   #BurnaBoy…",BUJU BNXN ARENA,False,Twitter for Android,314,50,1547186726589841411
22,jonesike3,2022-07-13 11:50:29+00:00,"RT @Outsider236: 🌍 Global Apple Music Top 100:
“Last Last” #15 (+1) *new peak 
“For My Hand” #64 (+4) *new peak 
#LOVEDAMINI https://t.co/t…",,False,Twitter for iPhone,334,50,1547186700547497984
23,Grahammoore04,2022-07-13 11:50:12+00:00,"RT @Burnaboystats1: Songs from #LoveDamini on 🇬🇧 UK Apple Music top 100: (day 5)

Last Last —— #4 (=)
For my hand - #13 (+2) *new peak 
Clo…",BUJU BNXN ARENA,False,Twitter for Android,314,49,1547186629839822850
24,Ayofe_olatunde,2022-07-13 11:50:06+00:00,"RT @Burnaboystats1: 🇺🇸 Amazon international best sellers (album)

#1 - #LoveDamini 

🇺🇸 Amazon international new releases (album)

#1 - #Lo…",,False,Twitter for Android,473,101,1547186604221108224
25,Grahammoore04,2022-07-13 11:50:05+00:00,"RT @Burnaboystats1: #LoveDamini has surpassed 18 million streams on Boomplay in less than 6 days after release 

- it’s the fastest album o…",BUJU BNXN ARENA,False,Twitter for Android,314,45,1547186599544426500
26,thekhalilaustin,2022-07-13 11:50:01+00:00,How Bad Could It Be? #LOVEDAMINI,"Lagos, Nigeria",False,Twitter for Android,26,0,1547186581513146369
27,Grahammoore04,2022-07-13 11:49:52+00:00,"RT @Burnaboystats1: #LoveDamini   has surpassed 30.8 million combined streams on Audiomack in less than 6 days after release 
 
- it’s the…",BUJU BNXN ARENA,False,Twitter for Android,314,62,1547186546222239744
28,i_am_ebex,2022-07-13 11:49:49+00:00,"RT @UnrulyOutsider: When Burna Boy released ‘African Giant’, they said ‘Outside’ was better.

When ‘Twice As Tall’ was released, they said…",OUTSIDE,False,Twitter Web App,271,92,1547186533236498432
29,JOHN9RO,2022-07-13 11:49:47+00:00,"RT @Burnaboystats1: Anghami Worldwide Chart:

36. - For My Hand  ft. @edsheeran 

• Anghami is the first legal music streaming platform and…",Outside 🦍🐐,False,Twitter for iPhone,851,30,1547186525796024320
30,Grahammoore04,2022-07-13 11:49:39+00:00,"RT @Burnaboystats1: “For my hand” video ft @edsheeran is charting at number #1 on YouTube daily chart in 5 countries simultaneously 

#Love…",BUJU BNXN ARENA,False,Twitter for Android,314,43,1547186492585525248
31,Grahammoore04,2022-07-13 11:49:35+00:00,"RT @Burnaboystats1: 🇬🇳 Papau New Guinea Apple Music top songs 

#1 - “For my hand” ft @edsheeran [new peak]

- the song has now reached num…",BUJU BNXN ARENA,False,Twitter for Android,314,28,1547186474537422848
32,Outsideisbliss,2022-07-13 11:49:35+00:00,RT @dukeofph_: #LOVEDAMINI Surpasses 17M streams on Boomplay within 6 days of its release. Burna boy is the first artiste to achieve this f…,"Kumasi, Ghana",False,Twitter for Android,2414,4,1547186472415072258
33,azi_mercy65,2022-07-13 11:49:28+00:00,"RT @Pridology: @burnaboy with #LOVEDAMINI took his art to a different place with own rules. His own production, vibes , lingo , melodies &amp;…",,False,Twitter for Android,626,14,1547186445571465221
34,Grahammoore04,2022-07-13 11:49:24+00:00,"RT @Burnaboystats1: Anghami Worldwide Chart:

36. - For My Hand  ft. @edsheeran 

• Anghami is the first legal music streaming platform and…",BUJU BNXN ARENA,False,Twitter for Android,314,30,1547186430375591936
35,jonesike3,2022-07-13 11:49:22+00:00,RT @skeng7g: FC whenever chartdata posts about burna’s #LOVEDAMINI doings in just 4 days. https://t.co/4ohuRID6uR,,False,Twitter for iPhone,334,40,1547186421760499713
36,ribyickz,2022-07-13 11:49:10+00:00,RT @skeng7g: FC whenever chartdata posts about burna’s #LOVEDAMINI doings in just 4 days. https://t.co/4ohuRID6uR,,False,Twitter for Android,986,40,1547186367637213186
37,JOHN9RO,2022-07-13 11:49:03+00:00,"RT @RevoGorilla: The transition from ""Dirty Secrets"" to  ""TAS"" then to ""Solid"" on #LOVEDAMINI is so crazy. Burna &amp; his team are just too cr…",Outside 🦍🐐,False,Twitter for iPhone,851,9,1547186341062098945
38,gvizor,2022-07-13 11:49:01+00:00,"RT @AdefoworaHon: Everybody Get Role.... No be say Your own Role pass my Own!!!

I be common person 👌👌👌

@burnaboy #LOVEDAMINI",Metavarse,False,Twitter for Android,3950,21,1547186332241379329
39,gvizor,2022-07-13 11:48:53+00:00,RT @temidayo_XO: It's plenty is my favorite track off Burna Boy #LOVEDAMINI,Metavarse,False,Twitter for Android,3950,19,1547186300041809920
40,Peter_David2,2022-07-13 11:48:37+00:00,"RT @Burnaboystats1: 🇺🇸 Amazon international best sellers (album)

#1 - #LoveDamini 

🇺🇸 Amazon international new releases (album)

#1 - #Lo…","Lekki, Nigeria",False,Twitter for iPhone,328,101,1547186231431335936
41,Sexygilo,2022-07-13 11:48:34+00:00,RT @LabanElisha23: The name ‘Burna Boy’ should be changed to ‘Burna Man’ or ‘Burna Boss’ because this album pass Wetin boy for release👌🏾. #…,Lagos nigeria,False,Twitter for Android,524,2910,1547186219255218176
42,Grahammoore04,2022-07-13 11:48:33+00:00,"RT @Outsider236: 🌍 Global Apple Music Top 100:
“Last Last” #15 (+1) *new peak 
“For My Hand” #64 (+4) *new peak 
#LOVEDAMINI https://t.co/t…",BUJU BNXN ARENA,False,Twitter for Android,314,50,1547186216398999552
