,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
0,Lakitan6,2022-07-10 00:17:24+00:00,"RT @Burnaboyjnr_: As you are listening to “For my hand” , make sure you jam “last last” too. There’s a reason why they are on the same albu…","Otta, Nigeria",False,Twitter for Android,743,287,1545925115682119681
1,miscreant__,2022-07-10 00:17:20+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,Killhouse,False,Twitter for Android,22,4803,1545925101937463298
2,abeikuvibz,2022-07-10 00:17:12+00:00,RT @backroadgee: After listen @burnaboy album for 2 days straight. I believe this is another classic album. #LOVEDAMINI  #Well done my fami…,"Kumasi, Ghana",False,Twitter for Android,58,240,1545925065346371586
3,ChrisKh57703957,2022-07-10 00:17:07+00:00,RT @kvngvinci: My parents are so proud of me 😄 #LOVEDAMINI,,False,Twitter for iPhone,1072,39,1545925046216101890
4,Destiny00_01,2022-07-10 00:17:07+00:00,"#LOVEDAMINI The album got different mood and vibes
Solid album 10/10💥🦍","Port Harcourt, Nigeria",False,Twitter for Android,713,0,1545925044219645952
5,Leriqs2,2022-07-10 00:16:58+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,"Lagos, Nigeria",False,Twitter for iPhone,644,4803,1545925009218076672
6,Sabichief,2022-07-10 00:16:58+00:00,RT @Chief_Legit: Common Person on Burna Boy’s #LOVEDAMINI made me remember the days I was a Dry cleaner… like na me wen dey wash una clothe…,🇳🇬,False,Twitter for iPhone,58932,1,1545925008018575360
7,bahd_mohs,2022-07-10 00:16:58+00:00,RT @AlbumTalksHQ: .@burnaboy’s #LOVEDAMINI is now #1 in 45 countries. (Apple),outside,False,Twitter for Android,497,109,1545925007557230594
8,ChrisKh57703957,2022-07-10 00:16:56+00:00,RT @olorunwababs: Now streaming #LOVEDAMINI . That's a very electric album by @burnaboy !,,False,Twitter for iPhone,1072,19,1545924998971490304
9,bahd_mohs,2022-07-10 00:16:46+00:00,RT @elmajor08114869: Best song on the album #LOVEDAMINI https://t.co/4Lc6iDRQ2z,outside,False,Twitter for Android,497,14,1545924955975700486
10,supremescourt,2022-07-10 00:16:42+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,♡,False,Twitter for iPhone,4054,4803,1545924941434028032
11,bahd_mohs,2022-07-10 00:16:40+00:00,"RT @spIhuah: The way Love Damini is arranged, you can't help but to keep looping. Ladysmith Black mambazo's voice starting and ending it. 1…",outside,False,Twitter for Android,497,6,1545924933972377600
12,VIOLENCEPL,2022-07-10 00:16:35+00:00,RT @itskenechi: Burna Boy never disappoints! I love every bit of his new album. #LOVEDAMINI,O.U.T.S.I.D.E,False,Twitter for iPhone,203,106,1545924911557779457
13,_iamprincefidel,2022-07-10 00:16:27+00:00,RT @advtomiwa: — #LoveDamini  Peak No.1 on UK 🇬🇧 iTunes Worldwide genre album chart https://t.co/iEBcPNvB6I,somewhere in the world 🌍,False,Twitter for Android,1397,80,1545924876803915776
14,dan_ileri,2022-07-10 00:16:18+00:00,RT @burnaboy: #Vanilla visual story out now ft. #RayBanStories. Full video at https://t.co/mRc0IRAAvD @ray_ban #sponsored #LOVEDAMINI https…,"Ife,Ibadan,Nigeria",False,Twitter for Android,461,1315,1545924840795901952
15,heisKabyaar,2022-07-10 00:16:15+00:00,RT @Afrochella: Africa is up 1000 points today! #LOVEDAMINI,,False,Twitter for Android,113,265,1545924827411881984
16,yeriimma,2022-07-10 00:16:15+00:00,@burnaboy Thank you for always blessing my ears. #LOVEDAMINI,,False,Twitter for Android,90,0,1545924826979864577
17,chukaobi,2022-07-10 00:16:06+00:00,"RT @UnrulyOutsider: ‘ He sampled Fela’ people are the most disappointed. 😂😜

#LoveDamini",Coat Of Arms & BlackGodZilla,False,Twitter for iPhone,21723,68,1545924788992069633
18,Wuragolld,2022-07-10 00:16:05+00:00,"RT @mommyfinnasmoke: Wild dreams 💦❣️🔥🦍
#LOVEDAMINI https://t.co/WjcLkzGDGX",Enjoy my tweets 🥂,False,Twitter Web App,2416,56,1545924784546107393
19,iremiwole,2022-07-10 00:15:52+00:00,RT @itskenechi: Burna Boy never disappoints! I love every bit of his new album. #LOVEDAMINI,"Lagos, Nigeria",False,Twitter for Android,1972,106,1545924733346136065
20,BabajideAyodej4,2022-07-10 00:15:51+00:00,RT @bnxn2urears: i can never forgive burna boy cos i was expecting a song with Bnxn on #LOVEDAMINI tbh,"Osun-Ekiti, Nigeria",False,Twitter for Android,153,5,1545924728774397952
21,whois_kl_,2022-07-10 00:15:48+00:00,RT @burnaboy: Made sure I Signed a few CDs for my outsiders in London and Birmingham that couldn’t make it! Go grab in store at HMV #LOVEDA…,,False,Twitter for iPhone,1288,634,1545924713494548480
22,rolandwizards,2022-07-10 00:15:46+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,,False,Twitter for Android,0,4803,1545924705219141632
23,bahd_mohs,2022-07-10 00:15:44+00:00,"RT @mommyfinnasmoke: Wild dreams 💦❣️🔥🦍
#LOVEDAMINI https://t.co/WjcLkzGDGX",outside,False,Twitter for Android,497,56,1545924699581988865
24,_iamprincefidel,2022-07-10 00:15:44+00:00,"RT @CAliemeke: lovedamini is uk iTunes number 1 album last last is UK 🇬🇧 iTunes number 1 song worldwide 
#lovedamini odogwu doings 🦍 we mov…",somewhere in the world 🌍,False,Twitter for Android,1397,37,1545924697698746368
