,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
0,bamtweets_,2022-07-11 08:22:22+00:00,RT @berry_amahlee: Good night pals #LOVEDAMINI https://t.co/XfIGhhdfuK,your heart,False,Twitter for Android,2893,36,1546409549501980674
1,a1_odogwu,2022-07-11 08:22:14+00:00,"RT @GiantLivin: MyG got his copy of Album of the year signed by the Greatest Artiste Burna Boy!!

Portharcourt boys repping!!❤️🦍
@marnomkd…",,False,Twitter for iPhone,100,255,1546409518405402624
2,Ayobami061019,2022-07-11 08:22:14+00:00,RT @favour2amos: Thank you @burnaboy #LOVEDAMINI #commonperson https://t.co/LYKdifkZVJ,,False,Twitter for iPhone,15,1,1546409516123787266
3,tiwaloye001,2022-07-11 08:22:14+00:00,"RT @OTFbillie: I too like outsiders ❤️❤️❤️❤️❤️🦍
Outsiders are the most mature, civilized and lovable fan base 🦍 if you dey for Burna boy, i…","Ibadan, Nigeria",False,Twitter for Android,1,57,1546409515436081152
4,ELVIS_IBNL,2022-07-11 08:22:11+00:00,RT @berry_amahlee: Good night pals #LOVEDAMINI https://t.co/XfIGhhdfuK,lagos ,False,Twitter for Android,4520,36,1546409504673304576
5,Ayobami061019,2022-07-11 08:22:07+00:00,RT @MacMorgan001: @burnaboy  you're doing well #LOVEDAMINI,,False,Twitter for iPhone,15,1,1546409488030343169
6,Outsideisbliss,2022-07-11 08:22:04+00:00,"RT @UnrulyOutsider: Did you know?

#BurnaBoy Is the FIRST and ONLY artist from Nigeria to have three (3) Albums reach #1 on UK’s 🇬🇧 Apple M…","Kumasi, Ghana",False,Twitter for Android,2388,48,1546409474923106304
7,Airforc301,2022-07-11 08:22:01+00:00,"RT @burnaboy: Well, #LOVEDAMINI  https://t.co/34gUoYOsto 😘 https://t.co/Bka6wsPMCi",,False,Twitter for iPhone,58,1940,1546409464361779201
8,burnalovedamini,2022-07-11 08:22:01+00:00,"RT @Burnaboystats1: 🇿🇦 South Africa official streaming chart 

#2 - Last Last (new peak) 

#LoveDamini #BurnaBoy https://t.co/gNm9YaEwNL",,False,Twitter for Android,357,13,1546409461073469442
9,dozzy_collectio,2022-07-11 08:21:49+00:00,RT @berry_amahlee: Good night pals #LOVEDAMINI https://t.co/XfIGhhdfuK,,False,Twitter for iPhone,4976,36,1546409414059790336
