,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
0,Hillzpapii,2022-07-09 23:53:20+00:00,RT @stacysylv: OMGGGGG BURNA BOY’S ALBUM #LOVEDAMINI IS SO FIREEEE 🔥🔥🔥🔥🔥,"Lagos,Nigeria.",False,Twitter for iPhone,334,18,1545919060629721090
1,loaner83810349,2022-07-09 23:53:18+00:00,"#LOVEDAMINI common person by Oluwa Burna is on a different frequency... now I feel different, this track is just fo… https://t.co/Z2emwvgXTt",,False,Twitter for Android,0,0,1545919053109264384
2,GSUNI,2022-07-09 23:53:14+00:00,"RT @Burnaboystats1: “Last Last” video has surpassed 22 million views on YouTube 

#LoveDamini #Burnaboy https://t.co/vqImFYXP6c","Oklahoma, USA",False,Twitter for iPhone,315,75,1545919035904299011
3,Richie_Szn,2022-07-09 23:53:12+00:00,"RT @KRichaffair: Jagele my jam 4L ❤️ Thank You Burna 
#LOVEDAMINI #BURNABOY𓃵 https://t.co/O1wax6Q4wz",,False,Twitter for Android,540,76,1545919026286714880
4,GideonM16282926,2022-07-09 23:53:10+00:00,"RT @mahrex_owl: Ed Sheeran trying out Burna Boy’s heavy Jewelries 🧊📸

 “For my hand” is #15 on UK 🇬🇧 Apple Music chart 

#LOVEDAMINI https:…",ajegunle,False,Twitter Web App,1,214,1545919018464428034
5,theblackjudgee,2022-07-09 23:53:10+00:00,Just for the LOVE of DAMINI #Burnaboy #LOVEDAMINI,Nigeria,False,Twitter for iPhone,1149,0,1545919017134825475
6,FulaniAyomikun,2022-07-09 23:53:08+00:00,RT @0dinaka_: #LOVEDAMINI has surpassed 7million plays on boomplay in two days!,,False,Twitter for Android,711,39,1545919012210614275
7,Justincoddy,2022-07-09 23:53:06+00:00,"RT @outsideeforever: Lol “DIRTY SECRET” is really underrated! 
Am i the only loving that “Oluwa burna orin melo mo fe ko” part 😩🔥 #LOVEDAMI…",OUTSIDE🛸 ,False,Twitter for iPhone,2129,25,1545919001901015040
8,kizzynwa10,2022-07-09 23:53:06+00:00,"RT @HarjoRoseline: Omo this burna album na 10000/100🔥🔥🔥♥️♥️
#lovedamini 
@burnaboy https://t.co/yqmgUyal8B",,False,Twitter for Android,0,1078,1545919000923832321
9,Hillzpapii,2022-07-09 23:53:02+00:00,"RT @Chuky_ng: Burna boy album na blast I no even fit pick favourite song 🔥🔥🔥 
#LOVEDAMINI","Lagos,Nigeria.",False,Twitter for iPhone,334,14,1545918986981883906
10,JasinMiles,2022-07-09 23:53:02+00:00,RT @Kwesi_Brandel: This album needs to be taught as an Afrofusion course in elite universities of music. This is a perfect album 💯 @burnabo…,Nigeria,False,Twitter for Android,1004,24,1545918984486363148
11,Hillzpapii,2022-07-09 23:53:01+00:00,RT @Kwesi_Brandel: This album needs to be taught as an Afrofusion course in elite universities of music. This is a perfect album 💯 @burnabo…,"Lagos,Nigeria.",False,Twitter for iPhone,334,24,1545918980858191872
12,Realonekareem1,2022-07-09 23:53:00+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,"Lagos, Nigeria",False,Twitter for iPhone,3,4787,1545918976206983168
13,PhilipToby1,2022-07-09 23:52:59+00:00,"RT @_Telz: New @burnaboy album out noww
Cloak &amp; Dagger (feat. Jhus) and Common Person produced by me. 
Love to @_THEMONSTERS for allowing m…",somewhere on Earth,False,Twitter for Android,624,1290,1545918971978858497
14,_iamprincefidel,2022-07-09 23:52:58+00:00,RT @papategapikin: Can’t wait to loose my voice to this song at Burna’s concert this year #LOVEDAMINI https://t.co/9nv70i89ub,somewhere in the world 🌍,False,Twitter for Android,1397,22,1545918967516205057
15,Abiemsamuel,2022-07-09 23:52:58+00:00,RT @CHOPSTIIIIX: From the beach sessions to the world. It’s always fun creating with my brother @burnaboy — “Kilometre” + “Last Last” produ…,Nigeria,False,Twitter for Android,1266,281,1545918967142817792
16,Ayomideferanmi4,2022-07-09 23:52:56+00:00,RT @burnaboy: #Vanilla visual story out now ft. #RayBanStories. Full video at https://t.co/mRc0IRAAvD @ray_ban #sponsored #LOVEDAMINI https…,,False,Twitter for iPhone,2,1311,1545918961375711234
17,Chiaroscuro_333,2022-07-09 23:52:51+00:00,"RT @HarjoRoseline: Omo this burna album na 10000/100🔥🔥🔥♥️♥️
#lovedamini 
@burnaboy https://t.co/yqmgUyal8B",,False,Twitter for Android,18,1078,1545918938915151872
18,FulaniAyomikun,2022-07-09 23:52:47+00:00,RT @paulizbeet: Give it to Telz mhen!! Man's a beast!!🥶🔥 Just can't get over Cloak and Dagger &amp; Common person 😩🥰 #LOVEDAMINI #BURNABOY𓃵 htt…,,False,Twitter for Android,711,8,1545918922024681472
19,JarOfsilver,2022-07-09 23:52:46+00:00,"RT @supabara: I have been playing The Album #LOVEDAMINI since Morning

I’m really feeling for Burna boy right now, him mouth go don dey pai…",,False,Twitter for Android,3343,204,1545918917587177473
20,ChrisKh57703957,2022-07-09 23:52:45+00:00,"RT @HighlySelasie: CLOAK AND DAGGER SHOULD BE ADDED TO GTA SOUNDTRACK. WHHHAAATTT.🗡🗡🗡🦍🦍🦍🐍🐍🐍🔥🔥🔥 
@_Telz @burnaboy 
#LOVEDAMINI",,False,Twitter for iPhone,1072,13,1545918913350930433
21,thewhitejalab,2022-07-09 23:52:41+00:00,"RT @toriousbeatz: Turned everything red when he came out of the blue!! J Hus is a literal monster. Cloak and Dagger the hardest!!

#LOVEDAM…",in the Clouds on a Spaceship🛸,False,Twitter for Android,223,167,1545918899098714117
